Station;month number ;Chl a;Eh;Temp.;pH;ChZT-Mn;ChZT-Cr;BZT5;O2rozp;WS;NO3;NO2;NH4;TN;SRP;TP;TH;Ca;Mg;Cl;SO4;ZasadowoÊç;KwasowoÊç;Feog;Mnog;Pb;Zn;Cd;Cu
r1;12;27;328;7;8,29;9,7;40;0,6;5,6;60,2;0,89;0,025;0,72;3,7;0,71;0,97;149;51;5;32;28;230;1,25;0,12;0,6;0,009;0,027;0,002;0,01
r1;13;14;361;17;7,4;10,3;55,7;4;5,6;57,3;0,16;0,032;1,44;1,9;0,15;0,31;223;81;5;32;51;125;2,5;0,18;0,03;0,001;0,006;0,002;0,014
r1;14;29;336;13;8,14;10,4;41,4;3,2;6;56,5;0,69;0,07;1;2,3;0,19;0,58;367;127;12;25;31;290;2,5;0,02;0,05;0,002;0,008;0,001;0,014
r1;15;35;356;8;7,94;10,4;41;4,4;5,2;43,8;0,89;0,043;0,4;1,99;0,12;0,24;280;104;5;26;24;275;2,5;0,43;0,02;0,001;0,035;0,001;0,029
r1;16;28;361;3,5;7,57;10,3;55,7;4;6;45,1;0,36;0,06;0,35;1,47;0,3;0,5;295;90;17;35;28;300;2,5;0,34;0,01;0,001;0,009;0,004;0,009
r1;17;17;349;8;7,96;11,2;50,2;5,6;10,4;74,8;0,45;0,013;0,31;2,07;0,17;0,26;211;73;7;48;32;260;3,5;0,72;0,01;0,014;0,017;0,001;0,016
r1;18;23;313;5,3;8,7;8,8;101;4;5;39,1;0,99;0,03;0,34;1,91;0,18;0,41;406;136;16;32;69;285;2,5;0,16;0,01;0,006;0,014;0,001;0,014
r1;19;24;354;3;7,91;6,8;88,2;5,8;11;81,5;1,5;0,03;0,51;3,5;0,12;0,18;392;137;12;63;185;315;2,5;0,24;0,02;0,001;0,016;0,001;0,008
r1;20;48;363;6,7;7,78;9,6;69,8;4,4;5,1;41,6;1;0,029;0,43;2,3;0,02;0,45;799;253;40;47;126;345;5;0,38;0,05;0,011;0,013;0,001;0,014
r1;21;57;338;3,8;7,95;11,3;47,3;3,8;8;60,6;0,72;0,025;0,85;2,6;0,2;0,65;340;123;8;32;41;240;1,25;0,4;0,03;0,001;0,018;0,001;0,016
r1;22;47;352;4,9;7,86;11,2;48,3;6,2;6,2;48,3;0,89;0,035;0,57;2,5;0,21;0,68;236;83;7;27;56;230;1,25;0,38;0,12;0,003;0,013;0,002;0,013
r1;23;28;338;9,2;8,12;11,5;33,3;5,4;5,5;47,5;1,01;0,041;0,92;2,97;0,19;0,63;208;75;5;31;45;255;2,5;0,37;0,15;0,004;0,021;0,001;0,014
r1;24;24;332;12,1;8,3;10,6;36,7;4,3;4,3;39,7;0,92;0,03;0,83;2,78;0,56;1,56;295;110;5;30;38;260;1,25;0,26;0,01;0,003;0,014;0,002;0,014
r1;25;17;376;18,3;7,65;10,8;45,7;4,5;5,7;60;0,73;0,026;0,71;2,47;0,45;1,32;245;78;12;28;41;125;2,5;0,15;0,03;0,006;0,014;0,001;0,014
r1;26;9;296;15,5;8,08;10,7;39,6;3,6;6,6;66;0,02;0,011;0,98;2,13;0,07;0,08;288;88;16;29;34;260;2,5;0,01;0,05;0,005;0,013;0,001;0,014
r1;27;12;359;13,4;8,03;11,3;41,3;5,1;5,7;54,4;0,35;0,058;0,13;1,67;0,16;0,17;553;111;66;28;26;275;2,5;0,4;0,02;0,014;0,017;0,001;0,016
r1;28;18;361;10,1;8,06;10,8;45,3;5,5;7,2;63,5;0,39;0,069;0,08;1,35;0,16;0,28;461;145;24;36;30;375;1,25;0,01;0,07;0,001;0,018;0,001;0,016
r1;29;71;327;4,6;8,1;12,1;49,3;7,2;12,2;94;0,49;0,037;0,8;1,6;0,25;0,56;275;101;6;54;35;250;0,25;0,03;0,09;0,007;0,018;0,001;0,021
r1;30;67;354;6,3;7,6;17,3;95;2,1;8;64,6;0,81;0,02;1,7;2,81;0,18;0,4;208;70;8;67;54;245;2,5;0,05;0,81;0,002;0,012;0,002;0,01
r1;31;24;357;4,4;7,91;10,8;39,3;2,8;10;76,9;1,38;0,044;0,41;3,23;0,11;0,31;216;76;6;43;34;150;3,25;0,03;0,02;0,005;0,023;0,001;0,021
r1;32;16;346;10,6;7,9;10,6;72,3;3,5;12;107,1;0,65;0,055;0,96;2,63;0,07;0,18;462;170;9;61;44;321;5;0,4;0,91;0,005;0,013;0,001;0,014
r1;33;17;337;14,1;8,05;10,6;56,3;9;10;96,4;0,32;0,953;0,71;2,66;0,25;0,36;347;129;6;39;48;150;0,5;0,03;0,01;0,001;0,009;0,004;0,009
r1;34;47;366;15,4;7,84;12,3;53;7;8;69,3;0,98;0,039;0,63;3,47;0,23;0,75;260;91;8;30;62;250;1,25;0,42;0,13;0,003;0,013;0,002;0,013
r1;35;57;343;16,9;8,2;12,7;36,7;6;7;61,9;1,11;0,045;1,01;2,74;0,21;0,69;229;83;6;34;50;280;2,75;0,21;0,16;0,001;0,009;0,004;0,009
r1;36;20;293;10,3;8,96;11;41,3;4;6,3;55,9;0,98;0,03;0,84;3,24;0,69;1,36;240;87;5;34;36;255;1,25;0,21;0,21;0,002;0,014;0,002;0,013
r1;37;13;395;17,4;7,3;12,6;131,3;5;7,2;74,4;0,6;0,05;0,58;2,18;0,03;0,54;292;111;4;39;50;150;3,75;0,45;0,01;0,003;0,014;0,002;0,014
r2;1;27;361;25;8,4;9,8;25;5,3;6;71,68;0,25;0,048;1,02;1,1;0,07;0,15;211;76;5;17;92;175;1,25;0,14;0,02;0,001;0,001;0,001;0,002
r2;2;40;344;15;7,93;10,1;40;2,5;6,1;59,92;0,37;0,037;0,88;1,34;0,1;0,42;296;99;12;11;41;185;2,5;0,04;0,05;0,0063;0,0182;0,0019;0,0153
r2;3;45;346;8;7,87;9,8;31,3;2,5;7,5;63,08;0,24;0,028;0,32;1,02;0,03;0,14;193;66;7;22;29;225;1,25;0,3;0,01;0,0062;0,0216;0,0035;0,0171
r2;4;27;354;4,5;7,86;9,7;58,3;6,5;8,5;65,54;0,78;0,03;0,4;1,58;0,07;0,15;234;87;5;24;29;250;2,5;0,11;0,01;0,0056;0,013;0,0025;0,0127
r2;5;28;346;0,5;7,86;10;28,7;7,8;10;69,25;0,56;0,02;0,35;1,2;0,1;0,2;205;48;21;33;128;225;3,75;0,22;0,01;0,001;0,0049;0,0027;0,0056
r2;6;14;327;3;7,75;21,9;72,7;6,4;10,5;77,83;0,35;0,011;2,38;3,07;0,12;1,03;302;110;7;102;31;225;3,75;0,54;1,15;0,001;0,0001;0,0085;0,0089
r2;7;16;352;1;7,75;19,2;69,8;4,6;13;91,4;1,4;0,032;1;3,41;0,06;0,42;189;71;3;71;30;135;3;0,41;1,6;0,0022;0,0267;0,0014;0,0145
r2;8;21;270;1;8,59;11,6;41,9;5;9,8;68,9;0,1;0,175;1,56;3,2;0,06;0,9;249;80;7;54;15;250;1,25;0,27;1,6;0,0034;0,0172;0,0015;0,0097
r2;9;30;331;11;8,13;12,1;40,2;4,2;7,6;65,38;0,48;0,044;0,88;1,94;0,08;0,38;214;70;9;37;44;225;2,66;0,26;0,57;0,0048;0,0187;0,0019;0,0147
r2;10;52;370;18;7,83;11;19;3,5;5,6;58,58;0,48;0,004;0,32;2,01;0,08;0,12;165;44;13;32;20;280;1,25;0,43;0,4;0,0044;0,0186;0,0028;0,013
r2;11;34;305;22;8,79;10,2;18,1;2,2;4;45,2;0,42;0,078;0,79;1,91;0,04;0,15;165;47;11;25;31;180;1,25;0,28;0,9;0,0044;0,0186;0,0028;0,013
r2;12;27;303;23;8,83;9,3;37,1;4,8;6,6;76,04;0,33;0,024;0,7;1,51;0,15;0,52;141;46;6;19;35;195;2,5;0,1;0,5;0,0055;0,0086;0,0053;0,0089
r2;13;10;322;25;8,4;9,8;25;5,2;5,8;69,2;0,25;0,048;1,02;1,1;0,07;0,15;211;76;5;17;92;175;1,25;0,14;0,02;0,0044;0,0186;0,0028;0,013
r2;14;32;344;15;7,93;10,1;40;1,6;6;58,9;0,37;0,037;0,88;1,34;0,1;0,42;296;99;12;11;41;185;2,5;0,04;0,05;0,0044;0,0186;0,0028;0,013
r2;15;36;346;8;7,87;9,8;31,3;5,1;7,2;60,7;0,24;0,028;0,32;1,02;0,03;0,14;193;66;7;22;29;225;1,25;0,3;0,01;0,001;0,0099;0,0036;0,017
r2;16;25;354;4,5;7,86;9,7;58,3;3;6,5;50,1;0,78;0,03;0,4;1,58;0,07;0,15;234;87;5;24;29;250;2,5;0,11;0,01;0,001;0,007;0,0022;0,0093
r2;17;14;346;0,5;7,86;10;28,7;5;9;62,3;0,56;0,02;0,35;1,2;0,1;0,2;205;48;21;33;128;225;3,75;0,22;0,01;0,0044;0,0186;0,0028;0,013
r2;18;25;350;2,9;7,91;8,7;92;3,5;6;44,5;0,77;0,031;0,36;1,56;0,08;0,15;354;136;5;34;113;280;1,25;0,09;0,01;0,0044;0,0186;0,0028;0,013
r2;19;26;350;0,7;7,87;6,7;148,3;6,6;11,2;77,9;0,9;0,02;0,41;3,3;0,13;0,41;293;109;5;72;185;305;3,75;0,15;0,01;0,0052;0,0366;0,0013;0,0181
r2;20;40;344;8,4;8,21;9,7;54,7;0,8;3,5;29,7;0,84;0,028;0,29;2,2;0,25;0,5;358;136;11;37;120;250;2,5;0,36;0,04;0,0044;0,0186;0,0028;0,013
r2;21;50;331;11;8,13;12,1;40,2;4;8;72,07;0,48;0,044;0,88;1,94;0,08;0,38;214;70;9;37;44;225;2,5;0,26;0,57;0,0029;0,0307;0,0018;0,0167
r2;22;42;370;18;7,83;11;19;4;6;62,76;0,48;0,004;0,32;2,01;0,08;0,12;165;44;13;32;20;280;1,25;0,43;0,4;0,0044;0,0186;0,0028;0,013
r2;23;26;305;22;8,79;10,2;18,1;2,5;4,5;50,85;0,42;0,078;0,79;1,91;0,04;0,15;165;47;11;25;31;180;1,25;0,28;0,9;0,0044;0,0061;0,0055;0,0063
r2;24;21;303;23;8,83;9,3;37,1;4;7;80,65;0,33;0,024;0,7;1,51;0,15;0,52;141;46;6;19;35;195;2,5;0,1;0,5;0,001;0,0243;0,0028;0,0158
r2;25;15;322;25;8,4;9,8;25;5,8;6;71,68;0,25;0,048;1,02;1,1;0,07;0,15;211;76;5;17;92;175;1,25;0,14;0,02;0,0071;0,0118;0,0041;0,011
r2;26;11;302;18,8;8,04;10,6;126,2;4;7,5;79,83;0,02;0,012;1,1;2,41;0,03;0,06;179;40;19;32;38;325;1,25;0,07;0,01;0,001;0,0343;0,0012;0,0177
r2;27;12;321;8;7,49;12,8;160,4;5,7;6,5;63,47;0,4;0,066;0,15;1,89;0,06;0,09;218;74;8;32;29;180;3,75;0,02;0,01;0,0066;0,0067;0,0067;0,0128
r2;28;18;317;7,9;8,8;10,9;36,4;6,2;8,1;69,49;0,44;0,078;0,09;1,53;0,06;0,2;274;95;9;40;34;325;3,75;0,02;0,01;0,021;0,0297;0,0039;0,0173
r2;29;65;341;1;7,77;13,7;33,2;8,2;13,7;96,57;0,55;0,042;0,91;1,8;0,06;0,23;434;165;5;61;39;125;5;0,02;0,01;0,0068;0,022;0,0023;0,0171
r2;30;57;294;1,7;8,59;19,5;82,7;2,3;9,1;64,71;0,91;0,022;1,92;3,17;0,2;0,45;235;79;9;75;61;278;3;0,06;0,92;0,001;0,0479;0,0004;0,0214
r2;31;20;338;1,3;8,2;10,4;34,2;3,1;11,3;80,03;1,56;0,05;0,47;3,65;0,09;0,26;418;152;9;48;38;125;5;0,03;0,01;0,0067;0,0179;0,0033;0,0158
r2;32;16;290;12;8,93;12;81,9;3,9;13,6;124,63;0,73;0,062;1,09;2,97;0,08;0,2;523;192;10;69;50;350;5;0,45;1,04;0,0044;0,0186;0,0028;0,013
r2;33;15;328;16,2;8,26;10,2;64,3;10,1;11,3;113,8;0,36;1,077;0,81;3,01;0,05;0,1;211;76;5;44;54;290;1,25;0,05;0,01;0,0044;0,0186;0,0028;0,013
r2;34;43;310;17,4;8,86;13,9;60,1;7,9;9;81,71;1,11;0,044;0,71;3,92;0,26;0,85;291;103;8;34;70;280;1,55;0,47;0,15;0,001;0,0256;0,0017;0,0065
r2;35;54;284;19,1;9,27;14,3;41,4;6,9;7,9;72,36;1,26;0,051;1,14;3,09;0,24;0,78;258;93;6;39;56;280;3;0,46;0,19;0,005;0,0181;0,001;0,0105
r2;36;18;353;21,6;8,13;12,4;46,8;4,5;7,1;79,81;1,11;0,034;0,95;3,66;0,78;1,54;272;99;6;38;40;300;1,5;0,23;0,37;0,0049;0,0252;0,0017;0,0158
r2;37;10;319;25,1;8,75;13,2;85,4;5,6;8,1;97,44;0,68;0,056;0,66;2,47;0,07;0,14;193;56;13;44;56;280;1,25;0,07;0,01;0,0044;0,0186;0,0028;0,013
r3;1;20;387;21;8,21;10,1;19,3;2;5;55,4;0,42;0,017;0,35;0,96;0,21;0,5;104;35;4;19;53;170;1,25;0,16;0,08;0,001;0,001;0,001;0,005
r3;2;50;376;10,6;8,03;10,3;29,1;3,4;6,8;55,2;0,42;0,031;0,58;1,45;0,07;0,22;181;60;8;29;54;150;1,75;0,22;0,14;0,0013;0,0075;0,0011;0,007
r3;3;68;377;7,8;7,83;10,2;17,3;3,2;8,5;71,1;0,16;0,02;0,4;1,1;0,05;0,25;193;57;12;39;56;155;1,25;0,1;0,02;0,0013;0,0069;0,0014;0,0042
r3;4;27;373;5,4;7,86;10,4;14;3,4;7,9;62,3;0,31;0,036;0,36;1,13;0,04;0,19;189;64;7;35;68;150;1,25;0,12;0,08;0,0013;0,0076;0,0037;0,0035
r3;5;14;375;1,2;7,85;11,3;13,4;6;9,8;69,2;0,23;0,015;0,59;0,93;0,07;0,16;143;44;8;38;78;165;2,5;0,48;0,01;0,0029;0,0124;0,0024;0,0116
r3;6;10;387;0,5;7,82;11,7;34,3;5;12,1;83,8;0,52;0,012;1,25;2,07;0,05;0,32;282;76;22;37;89;160;3,75;0,88;0,2;0,0016;0,0141;0,0022;0,0103
r3;7;16;381;0,2;7,75;6,6;74,3;5,4;9,4;65,6;0,71;0,037;2,85;5,14;0,04;0,26;301;112;5;37;74;100;2,5;0,02;0,7;0,0011;0,0113;0,0042;0,0057
r3;8;28;369;6,4;8,01;10,2;33,7;3,4;7;59;0,42;0,036;0,8;1,73;0,05;0,19;195;66;8;29;55;150;2;0,19;0,21;0,0042;0,0071;0,0035;0,0104
r3;9;48;374;13,9;8,06;10,4;29,1;3;6,2;55,6;0,37;0,039;0,53;1,32;0,05;0,17;174;60;6;27;49;150;1,6;0,13;0,16;0,0013;0,0066;0,0025;0,0105
r3;10;54;355;16;8,64;10,6;41,9;3,8;5,8;58,4;0,2;0,009;0,53;1,09;0,05;0,1;140;48;5;20;32;150;1,25;0,3;0,2;0,0028;0,0121;0,0026;0,0118
r3;11;35;380;21;8,05;9,4;16,2;0,6;2,8;31;0,44;0,063;0,5;1,44;0,02;0,21;163;51;9;14;36;150;1,25;0,15;0,65;0,0028;0,0121;0,0026;0,0118
r3;12;20;342;24;8,98;10,6;30,5;1,2;1,8;21,1;0,68;0,036;0,5;1,31;0,2;0,26;154;54;5;12;45;125;1,25;0,2;0,06;0,0013;0,0045;0,0022;0,011
r3;13;25;407;22;7,5;10,6;15,9;2;4,8;54,2;0,14;0,034;0,97;1,3;0,03;0,13;148;54;5;38;68;210;1,25;0,05;0,06;0,0028;0,0121;0,0026;0,0118
r3;14;16;386;16;7,96;9,8;40,3;2;8;50;0,87;0,067;0,45;2,3;0,03;0,25;225;82;5;22;27;145;1,25;0,01;0,09;0,0028;0,0121;0,0026;0,0118
r3;15;58;385;8;7,73;9,9;29;3;8,2;68,9;0,15;0,015;0,38;0,99;0,02;0,15;205;65;10;38;100;165;1,25;0,08;0,15;0,0073;0,0128;0,003;0,0106
r3;16;43;368;4,5;7,76;10,6;30,3;4;7,5;57,8;0,32;0,081;0,36;1,1;0,03;0,09;209;79;5;33;30;145;1,25;0,04;0,01;0,0029;0,0116;0,0027;0,0105
r3;17;17;372;2;7,89;11,8;23,8;7;9,6;69,3;0,14;0,01;0,24;0,6;0,08;0,14;126;40;6;36;50;160;3,75;0,16;0,01;0,0028;0,0121;0,0026;0,0118
r3;18;13;377;0,2;7,78;10,2;25,5;4;10,3;70,6;0,38;0,025;0,36;1,2;0,05;0,3;192;60;10;40;42;100;3,75;0,24;0,08;0,0028;0,0121;0,0026;0,0118
r3;19;10;385;0,4;7,73;9,4;29,1;3,8;9,8;67,7;0,52;0,023;0,33;1,4;0,06;0,28;168;54;8;39;31;110;3,75;0,31;0,1;0,0044;0,0172;0,0008;0,0121
r3;20;18;382;5,8;7,89;10,5;25;3;6,6;52,6;0,42;0,021;0,31;1,33;0,05;0,24;204;70;7;29;56;125;2,5;0,33;0,11;0,0028;0,0121;0,0026;0,0118
r3;21;72;375;11,2;8,04;10,5;27,7;3,4;5,8;52,5;0,45;0,036;0,34;1,23;0,08;0,2;191;68;5;23;49;175;1,25;0,35;0,14;0,0044;0,0188;0,0022;0,0135
r3;22;68;373;14,1;8,17;10,7;33,3;3,8;5,9;56,9;0,56;0,039;0,4;1,11;0,09;0,18;212;65;12;24;48;210;1,25;0,3;0,1;0,0028;0,0121;0,0026;0,0118
r3;23;24;368;19,8;8,4;10,6;32,7;3;3,5;37,7;0,6;0,04;0,32;1,2;0,15;0,26;134;40;8;20;52;165;1,25;0,25;0,06;0,0013;0,0213;0,0009;0,0148
r3;24;16;375;24,8;8,6;10,4;31,7;1,2;2,7;32,1;0,78;0,02;0,3;1,4;0,1;0,37;123;36;9;21;49;170;1,25;0,21;0,07;0,0018;0,0133;0,0019;0,0114
r3;25;17;381;19,2;8,37;9,8;19,3;2;2;21,4;0,4;0,01;0,3;0,9;0,23;0,48;93;32;3;19;53;170;1,25;0,14;0,06;0,0013;0,0231;0,0012;0,0151
r3;26;36;361;19,2;8,37;9,8;25;4;6;64,3;0,7;0,09;0,25;1;0,04;0,12;93;32;5;20;51;70;1,25;0,14;0,09;0,0019;0,0138;0,0012;0,0141
r3;27;39;383;15,9;8,05;9,9;22,7;3;4;40;0,59;0,04;0,1;0,72;0,03;0,1;153;51;6;25;57;120;1,25;0,08;0,15;0,0013;0,0217;0,001;0,0183
r3;28;57;366;10,1;8,2;10,1;20;4;7,5;66,3;0,3;0,022;0,08;0,7;0,02;0,13;173;59;6;32;52;100;1,25;0,02;0,08;0,0025;0,0119;0,0018;0,0129
r3;29;49;384;3,4;7,83;11,3;30;6,5;10;74,9;0,35;0,015;0,34;1,2;0,05;0,25;140;57;6;34;69;160;1,25;0,14;0,12;0,0051;0,0222;0,0036;0,0202
r3;30;10;339;0,3;8,58;12,1;32,9;5;12,3;84,9;0,5;0,02;0,89;1,8;0,05;0,34;261;75;18;42;72;150;4;0,62;0,15;0,0024;0,0127;0,0019;0,0125
r3;31;16;341;0,4;8,51;8,8;56,9;5,1;11;73,3;0,68;0,033;1,75;3,6;0,05;0,3;258;91;7;42;58;125;3,5;0,18;0,44;0,0013;0,012;0,0056;0,0044
r3;32;27;332;7;8,74;11,4;32,3;3,5;7,5;61,4;0,46;0,032;0,61;1,68;0,06;0,24;220;75;8;32;61;150;2,5;0,29;0,18;0,0028;0,0121;0,0026;0,0118
r3;33;45;331;14;8,85;11,5;31,2;3,5;6,6;59,4;0,45;0,041;0,48;1,4;0,07;0,2;201;70;6;27;54;200;1,5;0,26;0,17;0,0028;0,0121;0,0026;0,0118
r3;34;66;316;16;9,25;11,7;41,4;4,2;6,5;63,4;0,42;0,026;0,51;1,21;0,08;0,15;194;62;9;24;44;200;1,5;0,33;0,17;0,0029;0,0119;0,0026;0,0106
r3;35;28;328;22;9,05;11;26,9;2;3,6;37,8;0,57;0,056;0,45;1,45;0,09;0,26;163;50;9;19;48;175;1,5;0,22;0,39;0,0028;0,0121;0,0026;0,0118
r3;36;15;308;26;9,67;11,6;34,2;1,3;2,5;29,3;0,8;0,031;0,44;1,49;0,17;0,34;152;50;8;18;52;150;1,5;0,23;0,07;0,0018;0,0099;0,0023;0,0106
r3;37;25;350;22;8,73;11,2;58,1;2,6;3,8;41,6;0,3;0,024;0,7;1,21;0,14;0,34;133;47;4;31;67;225;1,5;0,1;0,07;0,0021;0,013;0,002;0,0114
r4;1;79;355;23,5;8,59;9,7;183;4,3;4,3;50;0,66;0,07;1,23;4,1;0,31;0,91;224;78;7;36;48;170;2,5;0,67;0,07;0,024;0,069;0,005;0,015
r4;2;50;405;15,2;7,56;10,1;145;3,8;5,6;55,2;0,56;0,055;1,13;3,2;0,21;0,68;288;100;9;45;78;240;3,75;0,58;0,1;0,0032;0,0697;0,0022;0,0113
r4;3;38;403;7,8;7,36;10,4;120;4,9;7,3;60,9;0,79;0,098;1;3,1;0,36;0,95;258;83;12;36;41;175;3,75;0,31;0,23;0,0006;0,0166;0,0021;0,0038
r4;4;25;393;6,8;7,51;10,2;133;5,4;5,6;45,8;0,68;0,09;0,98;2,8;0,45;1,32;283;95;11;29;65;180;3,75;0,54;0,26;0,0014;0,0166;0,0021;0,0027
r4;5;16;390;0,1;7,63;11,3;158;5,6;10,1;69,2;1,23;0,053;0,56;3,2;0,65;1,89;171;45;14;60;39;125;3,75;0,21;0,45;0,0013;0,0166;0,0033;0,003
r4;6;19;379;0,3;7,91;11,5;278,8;5,4;11,1;76,4;2,54;0,08;3,7;6,84;0,2;0,48;564;144;49;112;100;310;2,5;0,36;0,5;0,0112;0,0038;0,0028;0,0126
r4;7;16;377;2;7,57;10,1;142,8;5;7;50,5;2,45;0,51;4,9;11,97;0,18;0,58;178;67;5;103;30;290;5;0,53;0,4;0,0034;0,1294;0,0024;0,0088
r4;8;42;386;8;7,74;10,8;158,3;4,9;6,9;60;1,32;0,123;2,45;4,5;0,68;1,11;275;78;11;57;41;250;5;0,62;0,36;0,0077;0,0215;0,0027;0,0127
r4;9;40;384;11;7,81;10,6;164,3;4,9;6,7;58;1,08;0,117;2,07;4,2;0,56;1,04;282;92;13;55;46;250;3,38;0,72;0,34;0,0053;0,0495;0,0025;0,0123
r4;10;46;384;14;8,02;11,6;200;4;5,6;53,9;0,61;0,036;2,79;2,94;0,25;0,49;214;84;5;38;35;350;5;0,98;0,6;0,0159;0,0422;0,0027;0,0181
r4;11;16;403;17;7,84;10,1;108,6;1,6;2;20,5;1,44;0,058;0,98;2,35;0,76;0,83;278;100;7;45;36;375;3,75;0,63;0,98;0,0076;0,0281;0,0027;0,0134
r4;12;85;371;20;7,94;10,5;125,7;6,6;7,2;78,3;0,16;0,068;1,31;2,12;0,84;2;237;78;10;36;44;325;1,25;0,67;0,5;0,0141;0,012;0,0032;0,0139
r4;13;80;347;25;8,61;9,6;190,9;5,2;5,6;66,9;0,34;0,075;1,86;3,1;0,31;0,75;237;84;6;44;67;190;1,25;0,98;0,04;0,0021;0,1083;0,0021;0,0095
r4;14;59;405;15;7,64;10,5;154;2,2;6,6;64,8;0,93;0,065;1,44;3,4;0,53;1,14;371;131;11;39;48;290;5;0,27;0,07;0,0076;0,0281;0,0027;0,0134
r4;15;25;412;8;7,34;10,2;132;5,1;5,1;42,8;0,83;0,056;1,32;3,3;0,42;0,62;253;80;13;37;30;125;2,5;0,72;0,3;0,0004;0,3117;0,0021;0,0076
r4;16;35;384;7,5;7,56;9,6;147,7;5,8;6,9;57,3;0,79;0,18;1,21;2,89;0,64;1,85;313;104;13;49;29;175;3,75;0,57;0,01;0,0207;0,071;0,0033;0,0162
r4;17;21;387;1,5;7,65;12;162,3;8,4;9,6;68,3;0,68;0,039;1,15;3,05;0,5;1,65;176;50;13;52;36;225;3,75;1,47;0,01;0,0159;0,0422;0,0027;0,0181
r4;18;22;347;0,5;7,81;11,4;253,5;11;12;83,1;0,56;0,42;1,01;2,69;0,18;0,65;416;140;16;58;94;330;5;0,36;0,05;0,0013;0,0166;0,0033;0,003
r4;19;16;357;1,8;7,76;10,8;152,3;7;7,3;52,3;0,66;0,32;1,26;2,85;0,25;0,75;398;139;12;45;86;325;5;0,52;0,26;0,0017;0,1452;0,0021;0,0075
r4;20;36;394;8,1;7,65;11,3;186,8;6,7;6,8;57,3;0,78;0,056;1,54;3,01;0,36;1,23;402;138;14;38;78;375;7,5;0,56;0,24;0,0018;0,1297;0,0021;0,0076
r4;21;40;397;10,3;7,67;11,3;178,5;5,8;6,2;55;1,2;0,078;1,31;3,9;0,59;1,69;250;80;12;35;65;360;7,5;0,65;0,13;0,0021;0,1223;0,0022;0,0088
r4;22;48;409;14,9;7,66;11,6;737,5;5;5,5;53,9;1,23;0,056;1,11;2,98;0,36;1,41;233;75;11;28;61;325;7,5;0,89;0,6;0,0076;0,0281;0,0027;0,0134
r4;23;43;407;19,6;7,87;11,5;380;4;4;43,1;1,11;0,038;1;2,46;0,68;1,97;235;76;10;29;60;250;3,75;0,53;0,12;0,0105;0,0125;0,003;0,0144
r4;24;60;429;21;7,63;11,7;392;5;5;55,4;0,99;0,02;0,98;3;0,7;1,5;246;72;16;27;59;340;1,25;0,76;0,45;0,0159;0,0422;0,0027;0,0181
r4;25;87;379;25;8,33;11,2;193;6;6;71,9;0,83;0,053;1,21;2,56;0,65;1,83;237;78;10;24;66;325;1,25;0,73;0,13;0,0076;0,0281;0,0027;0,0134
